county,state,cases,population,num_physicians,phys_per_cap
Pipestone,Minnesota,0,9126,5,5.478851632697787e-4
Polk,Minnesota,0,31364,14,4.4637163627088384e-4
Pope,Minnesota,0,11249,13,0.0011556582807360654
Ramsey,Minnesota,56,550321,600,0.0010902727680753596
Red Lake,Minnesota,0,4055,1,2.466091245376079e-4
Redwood,Minnesota,0,15170,6,3.955174686882004e-4
Renville,Minnesota,1,14548,4,2.7495188342040145e-4
Rice,Minnesota,3,66972,60,8.958967926894822e-4
Rock,Minnesota,0,9315,10,0.0010735373054213634
Roseau,Minnesota,0,15165,8,5.275304978569074e-4
St Louis,Minnesota,0,199070,NA,NA
Scott,Minnesota,10,149013,84,5.637092065792918e-4
Sherburne,Minnesota,8,97238,38,3.907937226187293e-4
Sibley,Minnesota,1,14865,2,1.3454423141607804e-4
Stearns,Minnesota,5,161075,156,9.684929380723266e-4
Steele,Minnesota,6,36649,27,7.36718600780376e-4
Stevens,Minnesota,0,9805,8,8.15910249872514e-4
Swift,Minnesota,0,9266,5,5.396071659831643e-4
Todd,Minnesota,0,24664,18,7.298086279597794e-4
Traverse,Minnesota,2,3259,1,3.068425897514575e-4
Wabasha,Minnesota,6,21627,16,7.398159707772691e-4
Wadena,Minnesota,0,13682,9,6.577985674608975e-4
Waseca,Minnesota,3,18612,6,3.223726627981947e-4
Washington,Minnesota,39,262440,277,0.0010554793476604176
Watonwan,Minnesota,1,10897,3,2.753051298522529e-4
Wilkin,Minnesota,1,6207,1,1.6110842597067828e-4
Winona,Minnesota,10,50484,21,4.1597337770382697e-4
Wright,Minnesota,6,138377,60,4.335980690432659e-4
Yellow Medicine,Minnesota,0,9709,8,8.239777526006797e-4
Adams,Mississippi,10,30693,29,9.448408431890008e-4
Alcorn,Mississippi,3,36953,13,3.5179823018428814e-4
Amite,Mississippi,4,12297,3,2.4396194193705782e-4
Attala,Mississippi,10,18174,9,4.952129415648729e-4
Benton,Mississippi,4,8259,1,1.210800339024095e-4
Bolivar,Mississippi,22,30628,16,5.223978059292151e-4
Calhoun,Mississippi,3,14361,2,1.3926606782257503e-4
Carroll,Mississippi,1,9947,2,2.0106564793405046e-4
Chickasaw,Mississippi,13,17103,9,5.262234695667427e-4
Choctaw,Mississippi,6,8210,3,3.654080389768575e-4
Claiborne,Mississippi,1,8988,4,4.450378282153983e-4
Clarke,Mississippi,4,15541,5,3.2172961842867257e-4
Clay,Mississippi,4,19316,10,5.177055290950507e-4
