county,state,cases,population,num_physicians,yhat
Polk,Florida,91,724777,336,578.3914327777225
Putnam,Florida,13,74521,32,59.46975133320822
St. Johns,Florida,90,264672,233,211.21533560825654
St. Lucie,Florida,47,328297,120,261.989787488604
Santa Rosa,Florida,46,184313,124,147.08670411665983
Sarasota,Florida,99,433742,319,346.1377179958455
Seminole,Florida,128,471826,350,376.5297686899304
Sumter,Florida,57,132420,47,105.67470205101156
Suwannee,Florida,6,44417,7,35.445954093035645
Taylor,Florida,0,21569,8,17.212638940781364
Union,Florida,1,15237,4,12.159533568579242
Volusia,Florida,93,553284,370,441.5354315782501
Wakulla,Florida,2,33739,10,26.924624471371992
Walton,Florida,18,74071,36,59.11063929633347
Washington,Florida,1,25473,6,20.328135367357028
Appling,Georgia,1,18386,7,14.672519799953923
Atkinson,Georgia,0,8165,7,6.515888402405297
Bacon,Georgia,6,11164,7,8.909170621488393
Baker,Georgia,4,3038,2,2.424405262278909
Baldwin,Georgia,7,44890,25,35.823420745128445
Banks,Georgia,3,19234,4,15.349246482775687
Barrow,Georgia,20,83240,17,66.42774655434377
Bartow,Georgia,147,107738,44,85.97780584180549
Ben Hill,Georgia,3,16700,8,13.327046701796505
Berrien,Georgia,2,19397,3,15.479324842799208
Bibb,Georgia,23,153159,201,122.22497879044616
Bleckley,Georgia,1,12873,4,10.272998334863857
Brantley,Georgia,0,19109,3,15.249493139199366
Brooks,Georgia,2,15457,3,12.335099453273568
Bryan,Georgia,9,39627,29,31.623405967191022
Bulloch,Georgia,2,79608,42,63.529313403390184
Burke,Georgia,8,22383,8,17.86223271415037
Butts,Georgia,8,24936,5,19.899595003353152
Calhoun,Georgia,10,6189,5,4.938987547150813
Camden,Georgia,5,54666,17,43.62493023954537
Candler,Georgia,1,10803,4,8.621082965239978
Carroll,Georgia,133,119992,54,95.75682561927941
Catoosa,Georgia,4,67580,33,53.930647671102264
Charlton,Georgia,1,13392,4,10.68717421739274
Chatham,Georgia,39,289430,256,230.97288185035703
Chattahoochee,Georgia,2,10907,8,8.704077747095477
Chattooga,Georgia,3,24789,2,19.7822850713074
Cherokee,Georgia,85,258773,96,206.5077758182028
Clarke,Georgia,54,128331,83,102.41157067594294
Clay,Georgia,5,2834,2,2.261607805562353
Clayton,Georgia,128,292256,72,233.2281054419305
Clinch,Georgia,1,6618,5,5.281341022304747
Cobb,Georgia,304,760141,533,606.6128507155867
Coffee,Georgia,11,43273,23,34.53301149262516
Colquitt,Georgia,21,45600,21,36.39001973664195
Columbia,Georgia,24,156714,159,125.06196388175672
Cook,Georgia,1,17270,11,13.781921948504529
Coweta,Georgia,42,148509,72,118.51415440940701
Crawford,Georgia,0,12404,10,9.8987237897655
Crisp,Georgia,19,22372,19,17.853454419915654
Dade,Georgia,1,16116,5,12.860999080607932
Dawson,Georgia,11,26108,17,20.834882352724737
Decatur,Georgia,8,26404,12,21.071098270313467
DeKalb,Georgia,360,759297,808,605.9393161397593
Dodge,Georgia,3,20605,8,16.443341155120777
Dooly,Georgia,10,13390,11,10.68557816389552
Dougherty,Georgia,490,87956,69,70.19124070079121
Douglas,Georgia,56,146343,52,116.78562847191651
Early,Georgia,34,10190,7,8.1318925683417
Echols,Georgia,0,4006,3,3.19689515493394
Effingham,Georgia,5,64296,15,51.30992782866515
Elbert,Georgia,0,19194,10,15.317325412831263
Emanuel,Georgia,1,22646,10,18.072113749034948
Evans,Georgia,0,10654,3,8.502176979697003
Fannin,Georgia,6,26188,11,20.898724492613585
Fayette,Georgia,48,114421,124,91.31101860276993
Floyd,Georgia,70,98498,121,78.60403868464384
Forsyth,Georgia,50,244252,89,194.91962940162873
Franklin,Georgia,5,23349,6,18.633126553308177
Fulton,Georgia,638,1063937,849,849.050184836483
Gilmer,Georgia,1,31369,16,25.033301077164943
Glascock,Georgia,0,2971,2,2.370937470122001
Glynn,Georgia,19,85292,44,68.06529744249266
Gordon,Georgia,18,57963,26,46.256024429714415
Grady,Georgia,2,24633,12,19.65779289852415
Greene,Georgia,8,18324,9,14.623042141540068
Gwinnett,Georgia,257,936250,581,747.1525433866453
Habersham,Georgia,2,45328,22,36.17295646101988
Hall,Georgia,71,204441,108,163.14938651269335
Hancock,Georgia,0,8457,7,6.748912212999583
Haralson,Georgia,6,29792,13,23.774812894606075
Harris,Georgia,3,35236,12,28.119270514042014
Hart,Georgia,4,26205,9,20.912290947339965
Heard,Georgia,2,11923,2,9.514872923683816
Henry,Georgia,95,234561,107,187.1859521808437
Houston,Georgia,44,157863,82,125.97889661591027
Irwin,Georgia,5,9416,3,7.514219864917119
Jackson,Georgia,10,72977,36,58.2375980333535
Jasper,Georgia,2,14219,5,11.347142338493683
Jeff Davis,Georgia,1,15115,4,12.062174305248751
Jefferson,Georgia,2,15362,5,12.259286912155563
Jenkins,Georgia,1,8676,3,6.923680070945298
Johnson,Georgia,1,9643,5,7.695371936851718
Jones,Georgia,4,28735,7,22.931298621324704
Lamar,Georgia,4,19077,8,15.223956283243828
Lanier,Georgia,1,10423,8,8.317832800767961
Laurens,Georgia,14,47546,42,37.94297978943812
Lee,Georgia,94,29992,20,23.93441824432819
Liberty,Georgia,7,61435,24,49.02677330089031
Lincoln,Georgia,4,7921,2,6.321169875744318
Long,Georgia,1,19559,16,15.608605176074121
Lowndes,Georgia,24,117406,68,93.69312844737247
